observation,place_id,latitude,longitude,created_at
1,1,47.039916,39.258188,2024-02-11 09:54:30 UTC
6,6,45.451949,36.339545,2024-02-11 09:59:37 UTC
10,10,47.238759,39.127236,2024-02-11 10:02:44 UTC
28,20,47.178549,38.863654,2024-02-11 11:03:48 UTC
12,12,47.151339,39.164656,2024-02-11 10:04:24 UTC
30,21,47.231705,39.715717,2024-02-11 11:23:59 UTC
15,15,46.85241,37.234953,2024-02-11 10:07:50 UTC
32,23,47.017095,39.275016,2024-02-11 13:10:55 UTC
17,17,46.175719,35.384567,2024-02-11 10:22:03 UTC
17,17,46.175719,35.384567,2024-02-11 10:22:03 UTC
17,17,46.175719,35.384567,2024-02-11 10:22:03 UTC
17,17,46.175719,35.384567,2024-02-11 10:22:03 UTC
